DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
30/04/2024,All staff groups,ALL REASONS,2037932.38145,43017131.07928
30/04/2024,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,542647.28433,0.0
30/04/2024,All staff groups,S11 Back Problems,89812.07177,0.0
30/04/2024,All staff groups,S12 Other musculoskeletal problems,189249.43715,0.0
30/04/2024,All staff groups,S13 Cold Cough Flu - Influenza,206578.14505,0.0
30/04/2024,All staff groups,S14 Asthma,5859.59957,0.0
30/04/2024,All staff groups,S15 Chest & respiratory problems,83822.96762,0.0
30/04/2024,All staff groups,S16 Headache / migraine,53572.02524,0.0
30/04/2024,All staff groups,S17 Benign and malignant tumours cancers,58622.85012,0.0
30/04/2024,All staff groups,S18 Blood disorders,8260.1789,0.0
30/04/2024,All staff groups,S19 Heart cardiac & circulatory problems,47665.15645,0.0
30/04/2024,All staff groups,S20 Burns poisoning frostbite hypothermia,1365.18134,0.0
30/04/2024,All staff groups,S21 Ear nose throat (ENT),45872.24519,0.0
30/04/2024,All staff groups,S22 Dental and oral problems,10577.86747,0.0
30/04/2024,All staff groups,S23 Eye problems,20808.74297,0.0
30/04/2024,All staff groups,S24 Endocrine / glandular problems,9956.95547,0.0
30/04/2024,All staff groups,S25 Gastrointestinal problems,171552.59762,0.0
30/04/2024,All staff groups,S26 Genitourinary & gynaecological disorders,73804.57099,0.0
30/04/2024,All staff groups,S27 Infectious diseases,22658.68094,0.0
30/04/2024,All staff groups,S28 Injury fracture,101643.60815,0.0
30/04/2024,All staff groups,S29 Nervous system disorders,22983.47321,0.0
30/04/2024,All staff groups,S30 Pregnancy related disorders,66790.74925,0.0
30/04/2024,All staff groups,S31 Skin disorders,14327.04217,0.0
30/04/2024,All staff groups,S32 Substance abuse,688.46654,0.0
30/04/2024,All staff groups,S98 Other known causes - not elsewhere classified,130958.50666,0.0
30/04/2024,All staff groups,S99 Unknown causes / Not specified,57853.97728,0.0
30/04/2024,NHS infrastructure support,ALL REASONS,316904.14585,7690156.32767
30/04/2024,Other staff or those with unknown classification,ALL REASONS,1043.51954,67862.67971
30/04/2024,Professionally qualified clinical staff,ALL REASONS,913017.68371,22407516.07044
30/04/2024,Support to clinical staff,ALL REASONS,806967.03235,12851596.00146
30/04/2024,Ambulance staff,ALL REASONS,34431.11296,616035.74917
30/04/2024,Central functions,ALL REASONS,148313.86264,4146871.54485
30/04/2024,HCHS doctors - All grades,ALL REASONS,78894.37388,4409082.76803
30/04/2024,"Hotel, property & estates",ALL REASONS,135737.32471,2081423.08946
30/04/2024,Managers,ALL REASONS,23167.55366,970234.71017
30/04/2024,Midwives,ALL REASONS,39767.7397,744574.66534
30/04/2024,Nurses & health visitors,ALL REASONS,566917.08375,11218372.17669
30/04/2024,"Scientific, therapeutic & technical staff",ALL REASONS,193007.37342,5419450.71121
30/04/2024,Senior managers,ALL REASONS,9685.40484,491626.98319
30/04/2024,Support to ST&T staff,ALL REASONS,140996.27097,2690716.47447
30/04/2024,Support to ambulance staff,ALL REASONS,58948.36854,808583.2458
30/04/2024,"Support to doctors, nurses & midwives",ALL REASONS,607022.39284,9352296.28119
30/04/2024,HCHS doctors - Associate Specialist,ALL REASONS,1827.63637,76419.2008
30/04/2024,HCHS doctors - Consultant,ALL REASONS,27449.48984,1740032.69697
30/04/2024,HCHS doctors - Core Training,ALL REASONS,13732.52492,679943.18195
30/04/2024,HCHS doctors - Foundation Doctor Year 1,ALL REASONS,4047.04925,228092.72775
30/04/2024,HCHS doctors - Foundation Doctor Year 2,ALL REASONS,4205.78875,211672.045
30/04/2024,HCHS doctors - Hospital Practitioner / Clinical Assistant,ALL REASONS,516.69356,23699.42835
30/04/2024,HCHS doctors - Other,ALL REASONS,1179.50704,38080.74554
30/04/2024,HCHS doctors - Specialty Doctor,ALL REASONS,6854.4508,275979.90392
30/04/2024,HCHS doctors - Specialty Registrar,ALL REASONS,18902.35335,1124677.69995
30/04/2024,HCHS doctors - Staff Grade,ALL REASONS,178.88,10485.1378
30/04/2024,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,91895.65786,0.0
30/04/2024,NHS infrastructure support,S11 Back Problems,14821.41431,0.0
30/04/2024,NHS infrastructure support,S12 Other musculoskeletal problems,29585.03703,0.0
30/04/2024,NHS infrastructure support,S13 Cold Cough Flu - Influenza,26196.46214,0.0
30/04/2024,NHS infrastructure support,S14 Asthma,918.39334,0.0
30/04/2024,NHS infrastructure support,S15 Chest & respiratory problems,15228.38491,0.0
30/04/2024,NHS infrastructure support,S16 Headache / migraine,7185.16702,0.0
30/04/2024,NHS infrastructure support,S17 Benign and malignant tumours cancers,12406.69171,0.0
