DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/08/2022,All staff groups,ALL REASONS,2043598.97621,40951417.19031
31/08/2022,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,521690.97194,0.0
31/08/2022,All staff groups,S11 Back Problems,92675.368,0.0
31/08/2022,All staff groups,S12 Other musculoskeletal problems,183399.55405,0.0
31/08/2022,All staff groups,S13 Cold Cough Flu - Influenza,122970.45691,0.0
31/08/2022,All staff groups,S14 Asthma,4949.50208,0.0
31/08/2022,All staff groups,S15 Chest & respiratory problems,123388.27826,0.0
31/08/2022,All staff groups,S16 Headache / migraine,47469.8328,0.0
31/08/2022,All staff groups,S17 Benign and malignant tumours cancers,57857.09725,0.0
31/08/2022,All staff groups,S18 Blood disorders,8036.76629,0.0
31/08/2022,All staff groups,S19 Heart cardiac & circulatory problems,44668.36772,0.0
31/08/2022,All staff groups,S20 Burns poisoning frostbite hypothermia,1596.39185,0.0
31/08/2022,All staff groups,S21 Ear nose throat (ENT),36094.31878,0.0
31/08/2022,All staff groups,S22 Dental and oral problems,9200.3006,0.0
31/08/2022,All staff groups,S23 Eye problems,18162.94127,0.0
31/08/2022,All staff groups,S24 Endocrine / glandular problems,10041.96585,0.0
31/08/2022,All staff groups,S25 Gastrointestinal problems,154979.52115,0.0
31/08/2022,All staff groups,S26 Genitourinary & gynaecological disorders,65313.5445,0.0
31/08/2022,All staff groups,S27 Infectious diseases,151284.92777,0.0
31/08/2022,All staff groups,S28 Injury fracture,103593.59328,0.0
31/08/2022,All staff groups,S29 Nervous system disorders,19014.77532,0.0
31/08/2022,All staff groups,S30 Pregnancy related disorders,61997.61128,0.0
31/08/2022,All staff groups,S31 Skin disorders,14289.60963,0.0
31/08/2022,All staff groups,S32 Substance abuse,919.3198,0.0
31/08/2022,All staff groups,S98 Other known causes - not elsewhere classified,130500.9194,0.0
31/08/2022,All staff groups,S99 Unknown causes / Not specified,59503.04043,0.0
31/08/2022,NHS infrastructure support,ALL REASONS,309024.06754,7564427.43487
31/08/2022,Other staff or those with unknown classification,ALL REASONS,1201.34925,76458.91221
31/08/2022,Professionally qualified clinical staff,ALL REASONS,894078.80517,21064750.880260002
31/08/2022,Support to clinical staff,ALL REASONS,839294.75425,12245779.96297
31/08/2022,Ambulance staff,ALL REASONS,37334.09468,566662.54192
31/08/2022,Central functions,ALL REASONS,138555.95296,4148325.72638
31/08/2022,HCHS Doctors,ALL REASONS,68134.91779,4172747.07923
31/08/2022,"Hotel, property & estates",ALL REASONS,143270.45442,1972293.42048
31/08/2022,Managers,ALL REASONS,20010.16103,1003796.06675
