DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
29/02/2024,All staff groups,ALL REASONS,2114495.03257,41549656.98239
29/02/2024,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,545141.24473,0.0
29/02/2024,All staff groups,S11 Back Problems,88699.68684,0.0
29/02/2024,All staff groups,S12 Other musculoskeletal problems,178714.25195,0.0
29/02/2024,All staff groups,S13 Cold Cough Flu - Influenza,287369.96519,0.0
29/02/2024,All staff groups,S14 Asthma,5778.51496,0.0
29/02/2024,All staff groups,S15 Chest & respiratory problems,102180.86438,0.0
29/02/2024,All staff groups,S16 Headache / migraine,52000.43643,0.0
29/02/2024,All staff groups,S17 Benign and malignant tumours cancers,54697.76478,0.0
29/02/2024,All staff groups,S18 Blood disorders,8290.5052,0.0
29/02/2024,All staff groups,S19 Heart cardiac & circulatory problems,46845.6361,0.0
29/02/2024,All staff groups,S20 Burns poisoning frostbite hypothermia,1340.32098,0.0
29/02/2024,All staff groups,S21 Ear nose throat (ENT),45174.34551,0.0
29/02/2024,All staff groups,S22 Dental and oral problems,9612.68395,0.0
29/02/2024,All staff groups,S23 Eye problems,20511.12238,0.0
29/02/2024,All staff groups,S24 Endocrine / glandular problems,9367.76004,0.0
29/02/2024,All staff groups,S25 Gastrointestinal problems,160876.26966,0.0
29/02/2024,All staff groups,S26 Genitourinary & gynaecological disorders,71156.25027,0.0
29/02/2024,All staff groups,S27 Infectious diseases,34207.45616,0.0
29/02/2024,All staff groups,S28 Injury fracture,97253.67294,0.0
29/02/2024,All staff groups,S29 Nervous system disorders,21760.53266,0.0
29/02/2024,All staff groups,S30 Pregnancy related disorders,65205.9252,0.0
29/02/2024,All staff groups,S31 Skin disorders,14316.07415,0.0
29/02/2024,All staff groups,S32 Substance abuse,521.46316,0.0
29/02/2024,All staff groups,S98 Other known causes - not elsewhere classified,131138.21169,0.0
29/02/2024,All staff groups,S99 Unknown causes / Not specified,62334.07326,0.0
29/02/2024,NHS infrastructure support,ALL REASONS,335863.60592,7457072.6
29/02/2024,Other staff or those with unknown classification,ALL REASONS,1305.78003,68001.49971999999
29/02/2024,Professionally qualified clinical staff,ALL REASONS,939519.46195,21570882.31416
29/02/2024,Support to clinical staff,ALL REASONS,837806.18467,12453700.56851
29/02/2024,Ambulance staff,ALL REASONS,36379.1419,584271.60822
29/02/2024,Central functions,ALL REASONS,159327.36435,4044849.59251
29/02/2024,HCHS doctors - All grades,ALL REASONS,80125.48445,4228458.47414
29/02/2024,"Hotel, property & estates",ALL REASONS,142367.57411,2009269.04286
29/02/2024,Managers,ALL REASONS,24880.42027,962960.29131
29/02/2024,Midwives,ALL REASONS,39530.0612,719713.28986
29/02/2024,Nurses & health visitors,ALL REASONS,575479.35626,10797314.39949
29/02/2024,"Scientific, therapeutic & technical staff",ALL REASONS,208005.41814,5241124.54245
29/02/2024,Senior managers,ALL REASONS,9288.24719,439993.67332
29/02/2024,Support to ST&T staff,ALL REASONS,150844.08047,2582538.67265
29/02/2024,Support to ambulance staff,ALL REASONS,61865.7275,786854.38732
29/02/2024,"Support to doctors, nurses & midwives",ALL REASONS,625096.3767,9084307.50854
29/02/2024,HCHS doctors - Associate Specialist,ALL REASONS,2164.62648,72635.41385
29/02/2024,HCHS doctors - Consultant,ALL REASONS,29209.97164,1676902.55756
29/02/2024,HCHS doctors - Core Training,ALL REASONS,12348.43201,640612.83858
29/02/2024,HCHS doctors - Foundation Doctor Year 1,ALL REASONS,4039.07575,223334.44
29/02/2024,HCHS doctors - Foundation Doctor Year 2,ALL REASONS,5175.43125,204565.912
29/02/2024,HCHS doctors - Hospital Practitioner / Clinical Assistant,ALL REASONS,519.10182,23231.69663
29/02/2024,HCHS doctors - Other,ALL REASONS,1179.32645,37993.982169999996
29/02/2024,HCHS doctors - Specialty Doctor,ALL REASONS,7100.3035,264497.12268
29/02/2024,HCHS doctors - Specialty Registrar,ALL REASONS,18244.36555,1074670.53692
29/02/2024,HCHS doctors - Staff Grade,ALL REASONS,144.85,10013.97375
29/02/2024,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,94148.69888,0.0
29/02/2024,NHS infrastructure support,S11 Back Problems,15317.89397,0.0
29/02/2024,NHS infrastructure support,S12 Other musculoskeletal problems,28878.91555,0.0
29/02/2024,NHS infrastructure support,S13 Cold Cough Flu - Influenza,38830.34876,0.0
29/02/2024,NHS infrastructure support,S14 Asthma,950.9199,0.0
29/02/2024,NHS infrastructure support,S15 Chest & respiratory problems,17525.52197,0.0
29/02/2024,NHS infrastructure support,S16 Headache / migraine,7376.51861,0.0
29/02/2024,NHS infrastructure support,S17 Benign and malignant tumours cancers,11876.72734,0.0
