DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/01/2024,All staff groups,ALL REASONS,2418210.02727,44217799.75755
31/01/2024,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,587108.83455,0.0
31/01/2024,All staff groups,S11 Back Problems,95185.27452,0.0
31/01/2024,All staff groups,S12 Other musculoskeletal problems,189603.98016,0.0
31/01/2024,All staff groups,S13 Cold Cough Flu - Influenza,398179.04927,0.0
31/01/2024,All staff groups,S14 Asthma,6861.32622,0.0
31/01/2024,All staff groups,S15 Chest & respiratory problems,143493.1233,0.0
31/01/2024,All staff groups,S16 Headache / migraine,54034.25343,0.0
31/01/2024,All staff groups,S17 Benign and malignant tumours cancers,59744.22156,0.0
31/01/2024,All staff groups,S18 Blood disorders,9028.853,0.0
31/01/2024,All staff groups,S19 Heart cardiac & circulatory problems,49581.40875,0.0
31/01/2024,All staff groups,S20 Burns poisoning frostbite hypothermia,1563.68812,0.0
31/01/2024,All staff groups,S21 Ear nose throat (ENT),48247.15171,0.0
31/01/2024,All staff groups,S22 Dental and oral problems,10765.33884,0.0
31/01/2024,All staff groups,S23 Eye problems,21119.03027,0.0
31/01/2024,All staff groups,S24 Endocrine / glandular problems,9975.00325,0.0
31/01/2024,All staff groups,S25 Gastrointestinal problems,176850.87945,0.0
31/01/2024,All staff groups,S26 Genitourinary & gynaecological disorders,73119.54978,0.0
31/01/2024,All staff groups,S27 Infectious diseases,62948.15832,0.0
31/01/2024,All staff groups,S28 Injury fracture,107532.5484,0.0
31/01/2024,All staff groups,S29 Nervous system disorders,22795.62642,0.0
31/01/2024,All staff groups,S30 Pregnancy related disorders,68414.19815,0.0
31/01/2024,All staff groups,S31 Skin disorders,14709.10279,0.0
31/01/2024,All staff groups,S32 Substance abuse,823.44492,0.0
31/01/2024,All staff groups,S98 Other known causes - not elsewhere classified,138394.00950000001,0.0
31/01/2024,All staff groups,S99 Unknown causes / Not specified,68131.97259,0.0
31/01/2024,NHS infrastructure support,ALL REASONS,376165.02364,7942136.98093
31/01/2024,Other staff or those with unknown classification,ALL REASONS,1349.63994,73246.05494
31/01/2024,Professionally qualified clinical staff,ALL REASONS,1081639.14636,22967343.57379
31/01/2024,Support to clinical staff,ALL REASONS,959056.21733,13235073.14789
31/01/2024,Ambulance staff,ALL REASONS,41592.03142,621581.86723
31/01/2024,Central functions,ALL REASONS,177120.07487,4312635.69492
31/01/2024,HCHS Doctors,ALL REASONS,90693.42878,4535674.5937
31/01/2024,"Hotel, property & estates",ALL REASONS,160611.47288,2130436.46779
31/01/2024,Managers,ALL REASONS,28356.27327,1030253.17135
31/01/2024,Midwives,ALL REASONS,45087.64821,764929.89345
31/01/2024,Nurses & health visitors,ALL REASONS,667946.12852,11463543.20002
31/01/2024,"Scientific, therapeutic & technical staff",ALL REASONS,236319.90943,5581614.01939
31/01/2024,Senior managers,ALL REASONS,10077.20262,468811.64687
31/01/2024,Support to ST&T staff,ALL REASONS,169708.5293,2735708.76468
31/01/2024,Support to ambulance staff,ALL REASONS,71980.52849,834471.08111
31/01/2024,"Support to doctors, nurses & midwives",ALL REASONS,717367.15954,9664893.3021
31/01/2024,Associate Specialist,ALL REASONS,2205.07852,76978.52517
31/01/2024,Consultant,ALL REASONS,32144.7012,1786475.34869
31/01/2024,Core Training,ALL REASONS,13850.90484,689170.39452
31/01/2024,Foundation Doctor Year 1,ALL REASONS,4604.26625,239060.7275
31/01/2024,Foundation Doctor Year 2,ALL REASONS,5771.70225,220466.44175
31/01/2024,Hospital Practitioner / Clinical Assistant,ALL REASONS,780.5308,24591.51687
31/01/2024,Other and Local HCHS Doctor Grades,ALL REASONS,1229.91785,40708.81963
31/01/2024,Specialty Doctor,ALL REASONS,7903.445,283241.69819
31/01/2024,Specialty Registrar,ALL REASONS,22019.45707,1164236.54513
31/01/2024,Staff Grade,ALL REASONS,183.425,10744.57625
31/01/2024,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,97996.24363,0.0
31/01/2024,NHS infrastructure support,S11 Back Problems,15868.05612,0.0
31/01/2024,NHS infrastructure support,S12 Other musculoskeletal problems,30435.75986,0.0
31/01/2024,NHS infrastructure support,S13 Cold Cough Flu - Influenza,54619.2048,0.0
31/01/2024,NHS infrastructure support,S14 Asthma,1011.27854,0.0
31/01/2024,NHS infrastructure support,S15 Chest & respiratory problems,23792.46771,0.0
31/01/2024,NHS infrastructure support,S16 Headache / migraine,7641.2552,0.0
31/01/2024,NHS infrastructure support,S17 Benign and malignant tumours cancers,12186.79477,0.0
31/01/2024,NHS infrastructure support,S18 Blood disorders,2136.15166,0.0
31/01/2024,NHS infrastructure support,S19 Heart cardiac & circulatory problems,9341.64443,0.0
31/01/2024,NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,368.57997,0.0
31/01/2024,NHS infrastructure support,S21 Ear nose throat (ENT),7314.38473,0.0
31/01/2024,NHS infrastructure support,S22 Dental and oral problems,1872.17815,0.0
31/01/2024,NHS infrastructure support,S23 Eye problems,4032.33908,0.0
31/01/2024,NHS infrastructure support,S24 Endocrine / glandular problems,1208.55971,0.0
31/01/2024,NHS infrastructure support,S25 Gastrointestinal problems,25408.10657,0.0
31/01/2024,NHS infrastructure support,S26 Genitourinary & gynaecological disorders,9322.03623,0.0
31/01/2024,NHS infrastructure support,S27 Infectious diseases,7895.89037,0.0
31/01/2024,NHS infrastructure support,S28 Injury fracture,17525.85984,0.0
31/01/2024,NHS infrastructure support,S29 Nervous system disorders,3240.14032,0.0
31/01/2024,NHS infrastructure support,S30 Pregnancy related disorders,4034.89475,0.0
31/01/2024,NHS infrastructure support,S31 Skin disorders,2318.46107,0.0
31/01/2024,NHS infrastructure support,S32 Substance abuse,133.34669,0.0
31/01/2024,NHS infrastructure support,S98 Other known causes - not elsewhere classified,22979.97768,0.0
