DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/07/2022,All staff groups,ALL REASONS,2464323.33169,40877734.13284
31/07/2022,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,514073.30774,0.0
31/07/2022,All staff groups,S11 Back Problems,91555.43209,0.0
31/07/2022,All staff groups,S12 Other musculoskeletal problems,185553.46602,0.0
31/07/2022,All staff groups,S13 Cold Cough Flu - Influenza,229440.38618,0.0
31/07/2022,All staff groups,S14 Asthma,5306.42363,0.0
31/07/2022,All staff groups,S15 Chest & respiratory problems,241436.71712,0.0
31/07/2022,All staff groups,S16 Headache / migraine,49405.89906,0.0
31/07/2022,All staff groups,S17 Benign and malignant tumours cancers,57727.51103,0.0
31/07/2022,All staff groups,S18 Blood disorders,8059.76487,0.0
31/07/2022,All staff groups,S19 Heart cardiac & circulatory problems,44100.72153,0.0
31/07/2022,All staff groups,S20 Burns poisoning frostbite hypothermia,1626.18195,0.0
31/07/2022,All staff groups,S21 Ear nose throat (ENT),40130.28966,0.0
31/07/2022,All staff groups,S22 Dental and oral problems,8634.02764,0.0
31/07/2022,All staff groups,S23 Eye problems,18403.93682,0.0
31/07/2022,All staff groups,S24 Endocrine / glandular problems,9363.83469,0.0
31/07/2022,All staff groups,S25 Gastrointestinal problems,157874.5887,0.0
31/07/2022,All staff groups,S26 Genitourinary & gynaecological disorders,65059.0992,0.0
31/07/2022,All staff groups,S27 Infectious diseases,334293.17614,0.0
31/07/2022,All staff groups,S28 Injury fracture,104650.43776,0.0
31/07/2022,All staff groups,S29 Nervous system disorders,19261.77773,0.0
31/07/2022,All staff groups,S30 Pregnancy related disorders,58916.62261,0.0
31/07/2022,All staff groups,S31 Skin disorders,14184.25978,0.0
31/07/2022,All staff groups,S32 Substance abuse,622.9466,0.0
31/07/2022,All staff groups,S98 Other known causes - not elsewhere classified,140814.52656,0.0
31/07/2022,All staff groups,S99 Unknown causes / Not specified,63827.99658,0.0
31/07/2022,NHS infrastructure support,ALL REASONS,354984.49948,7546364.30787
31/07/2022,Other staff or those with unknown classification,ALL REASONS,1430.66879,74980.6325
31/07/2022,Professionally qualified clinical staff,ALL REASONS,1128708.35244,21010107.66278
31/07/2022,Support to clinical staff,ALL REASONS,979199.81098,12246281.52969
31/07/2022,Ambulance staff,ALL REASONS,45558.363190000004,565403.76456
31/07/2022,Central functions,ALL REASONS,163463.46767,4135451.99692
31/07/2022,HCHS Doctors,ALL REASONS,102886.2303,4141519.71221
31/07/2022,"Hotel, property & estates",ALL REASONS,159531.45083,1969193.37232
31/07/2022,Managers,ALL REASONS,23658.96737,1004695.7756
31/07/2022,Midwives,ALL REASONS,52314.88419,699877.6291
31/07/2022,Nurses & health visitors,ALL REASONS,687210.75499,10431934.43946
31/07/2022,"Scientific, therapeutic & technical staff",ALL REASONS,240738.11977,5171372.11745
31/07/2022,Senior managers,ALL REASONS,8330.61361,437023.16303
31/07/2022,Support to ST&T staff,ALL REASONS,164958.69964,2425802.47779
31/07/2022,Support to ambulance staff,ALL REASONS,78501.05603,784355.92376
31/07/2022,"Support to doctors, nurses & midwives",ALL REASONS,735740.05531,9036123.12814
31/07/2022,Associate Specialist,ALL REASONS,2324.55808,64394.4222
31/07/2022,Consultant,ALL REASONS,35812.51998,1690412.27857
31/07/2022,Core Training,ALL REASONS,15058.65075,545928.07835
31/07/2022,Foundation Doctor Year 1,ALL REASONS,6407.8875,213142.4155
31/07/2022,Foundation Doctor Year 2,ALL REASONS,7147.90625,197853.84175
31/07/2022,Hospital Practitioner / Clinical Assistant,ALL REASONS,434.82416,22212.12673
31/07/2022,Other and Local HCHS Doctor Grades,ALL REASONS,1253.57557,40009.87458
31/07/2022,Specialty Doctor,ALL REASONS,9439.93172,258277.00307
31/07/2022,Specialty Registrar,ALL REASONS,24696.07629,1099128.75111
31/07/2022,Staff Grade,ALL REASONS,310.3,10160.92035
31/07/2022,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,80365.15153,0.0
31/07/2022,NHS infrastructure support,S11 Back Problems,15377.90412,0.0
31/07/2022,NHS infrastructure support,S12 Other musculoskeletal problems,29350.71773,0.0
31/07/2022,NHS infrastructure support,S13 Cold Cough Flu - Influenza,28779.55595,0.0
31/07/2022,NHS infrastructure support,S14 Asthma,666.57301,0.0
31/07/2022,NHS infrastructure support,S15 Chest & respiratory problems,32346.88526,0.0
31/07/2022,NHS infrastructure support,S16 Headache / migraine,6937.06822,0.0
31/07/2022,NHS infrastructure support,S17 Benign and malignant tumours cancers,11508.46816,0.0
31/07/2022,NHS infrastructure support,S18 Blood disorders,1579.63917,0.0
31/07/2022,NHS infrastructure support,S19 Heart cardiac & circulatory problems,8331.11231,0.0
