DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
30/06/2022,All staff groups,ALL REASONS,2056329.82554,39576040.84822
30/06/2022,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,476949.24662,0.0
30/06/2022,All staff groups,S11 Back Problems,85650.76743,0.0
30/06/2022,All staff groups,S12 Other musculoskeletal problems,175396.61463,0.0
30/06/2022,All staff groups,S13 Cold Cough Flu - Influenza,172238.62904,0.0
30/06/2022,All staff groups,S14 Asthma,5030.75724,0.0
30/06/2022,All staff groups,S15 Chest & respiratory problems,152951.34823,0.0
30/06/2022,All staff groups,S16 Headache / migraine,45292.28405,0.0
30/06/2022,All staff groups,S17 Benign and malignant tumours cancers,55931.16085,0.0
30/06/2022,All staff groups,S18 Blood disorders,7458.22994,0.0
30/06/2022,All staff groups,S19 Heart cardiac & circulatory problems,42160.68118,0.0
30/06/2022,All staff groups,S20 Burns poisoning frostbite hypothermia,1566.72345,0.0
30/06/2022,All staff groups,S21 Ear nose throat (ENT),37815.21268,0.0
30/06/2022,All staff groups,S22 Dental and oral problems,9368.11652,0.0
30/06/2022,All staff groups,S23 Eye problems,17207.03187,0.0
30/06/2022,All staff groups,S24 Endocrine / glandular problems,8364.33252,0.0
30/06/2022,All staff groups,S25 Gastrointestinal problems,148946.303,0.0
30/06/2022,All staff groups,S26 Genitourinary & gynaecological disorders,61945.6287,0.0
30/06/2022,All staff groups,S27 Infectious diseases,186395.37395,0.0
30/06/2022,All staff groups,S28 Injury fracture,99757.87465,0.0
30/06/2022,All staff groups,S29 Nervous system disorders,17882.65196,0.0
30/06/2022,All staff groups,S30 Pregnancy related disorders,54556.85633,0.0
30/06/2022,All staff groups,S31 Skin disorders,12830.93423,0.0
30/06/2022,All staff groups,S32 Substance abuse,657.74001,0.0
30/06/2022,All staff groups,S98 Other known causes - not elsewhere classified,121400.27226,0.0
30/06/2022,All staff groups,S99 Unknown causes / Not specified,58575.0542,0.0
30/06/2022,NHS infrastructure support,ALL REASONS,297889.61538,7291708.80912
30/06/2022,Other staff or those with unknown classification,ALL REASONS,1035.27621,76263.59096
30/06/2022,Professionally qualified clinical staff,ALL REASONS,936229.77156,20378539.75563
30/06/2022,Support to clinical staff,ALL REASONS,821175.16239,11829528.69251
30/06/2022,Ambulance staff,ALL REASONS,40052.7167,547239.57803
30/06/2022,Central functions,ALL REASONS,136620.92482,3991117.17079
30/06/2022,HCHS Doctors,ALL REASONS,81662.60886,4037352.56828
30/06/2022,"Hotel, property & estates",ALL REASONS,133355.58575,1904501.12427
30/06/2022,Managers,ALL REASONS,20425.56125,971738.30487
30/06/2022,Midwives,ALL REASONS,44663.36566,682432.40642
30/06/2022,Nurses & health visitors,ALL REASONS,570059.0805,10092697.86399
30/06/2022,"Scientific, therapeutic & technical staff",ALL REASONS,199791.99984,5018817.33891
30/06/2022,Senior managers,ALL REASONS,7487.54356,424352.20919
30/06/2022,Support to ST&T staff,ALL REASONS,135152.96065,2340808.00104
30/06/2022,Support to ambulance staff,ALL REASONS,69152.30766,758235.48903
30/06/2022,"Support to doctors, nurses & midwives",ALL REASONS,616869.89408,8730485.20244
30/06/2022,Associate Specialist,ALL REASONS,1916.39976,61977.0272
30/06/2022,Consultant,ALL REASONS,28434.97218,1636059.275
30/06/2022,Core Training,ALL REASONS,11922.11175,544280.0984
30/06/2022,Foundation Doctor Year 1,ALL REASONS,5028.50625,198560.97375
30/06/2022,Foundation Doctor Year 2,ALL REASONS,4999.083,194000.93605
30/06/2022,Hospital Practitioner / Clinical Assistant,ALL REASONS,383.89667000000003,22430.94468
30/06/2022,Other and Local HCHS Doctor Grades,ALL REASONS,983.69106,39069.05834
30/06/2022,Specialty Doctor,ALL REASONS,7535.70696,251907.46586
30/06/2022,Specialty Registrar,ALL REASONS,20238.42573,1078901.231
30/06/2022,Staff Grade,ALL REASONS,219.8155,10165.558
30/06/2022,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,74174.66264,0.0
30/06/2022,NHS infrastructure support,S11 Back Problems,13216.80461,0.0
30/06/2022,NHS infrastructure support,S12 Other musculoskeletal problems,27485.61813,0.0
30/06/2022,NHS infrastructure support,S13 Cold Cough Flu - Influenza,20650.0833,0.0
30/06/2022,NHS infrastructure support,S14 Asthma,616.00617,0.0
30/06/2022,NHS infrastructure support,S15 Chest & respiratory problems,21733.39334,0.0
30/06/2022,NHS infrastructure support,S16 Headache / migraine,5750.06555,0.0
30/06/2022,NHS infrastructure support,S17 Benign and malignant tumours cancers,11315.71115,0.0
30/06/2022,NHS infrastructure support,S18 Blood disorders,1406.73413,0.0
30/06/2022,NHS infrastructure support,S19 Heart cardiac & circulatory problems,7970.72515,0.0
30/06/2022,NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,236.57324,0.0
30/06/2022,NHS infrastructure support,S21 Ear nose throat (ENT),5566.15261,0.0
30/06/2022,NHS infrastructure support,S22 Dental and oral problems,1531.21562,0.0
30/06/2022,NHS infrastructure support,S23 Eye problems,2574.8881499999998,0.0
30/06/2022,NHS infrastructure support,S24 Endocrine / glandular problems,958.16013,0.0
30/06/2022,NHS infrastructure support,S25 Gastrointestinal problems,20671.54954,0.0
30/06/2022,NHS infrastructure support,S26 Genitourinary & gynaecological disorders,6906.82901,0.0
30/06/2022,NHS infrastructure support,S27 Infectious diseases,20940.82317,0.0
30/06/2022,NHS infrastructure support,S28 Injury fracture,15799.92863,0.0
30/06/2022,NHS infrastructure support,S29 Nervous system disorders,2341.5897,0.0
30/06/2022,NHS infrastructure support,S30 Pregnancy related disorders,3589.3734,0.0
30/06/2022,NHS infrastructure support,S31 Skin disorders,1872.76334,0.0
30/06/2022,NHS infrastructure support,S32 Substance abuse,191.0,0.0
30/06/2022,NHS infrastructure support,S98 Other known causes - not elsewhere classified,19128.21879,0.0
30/06/2022,NHS infrastructure support,S99 Unknown causes / Not specified,11260.74588,0.0
30/06/2022,Other staff or those with unknown classification,S10 Anxiety/stress/depression/other psychiatric illnesses,224.61341,0.0
30/06/2022,Other staff or those with unknown classification,S11 Back Problems,17.1,0.0
30/06/2022,Other staff or those with unknown classification,S12 Other musculoskeletal problems,34.375420000000005,0.0
30/06/2022,Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,104.27336,0.0
30/06/2022,Other staff or those with unknown classification,S14 Asthma,10.2,0.0
30/06/2022,Other staff or those with unknown classification,S15 Chest & respiratory problems,134.32663,0.0
30/06/2022,Other staff or those with unknown classification,S16 Headache / migraine,21.33333,0.0
30/06/2022,Other staff or those with unknown classification,S17 Benign and malignant tumours cancers,14.18673,0.0
30/06/2022,Other staff or those with unknown classification,S19 Heart cardiac & circulatory problems,9.0,0.0
30/06/2022,Other staff or those with unknown classification,S21 Ear nose throat (ENT),28.099999999999998,0.0
30/06/2022,Other staff or those with unknown classification,S22 Dental and oral problems,4.0,0.0
30/06/2022,Other staff or those with unknown classification,S23 Eye problems,2.0,0.0
30/06/2022,Other staff or those with unknown classification,S24 Endocrine / glandular problems,2.0,0.0
30/06/2022,Other staff or those with unknown classification,S25 Gastrointestinal problems,128.74668,0.0
30/06/2022,Other staff or those with unknown classification,S26 Genitourinary & gynaecological disorders,37.8,0.0
30/06/2022,Other staff or those with unknown classification,S27 Infectious diseases,104.93333,0.0
30/06/2022,Other staff or those with unknown classification,S28 Injury fracture,38.93342,0.0
30/06/2022,Other staff or those with unknown classification,S29 Nervous system disorders,6.0,0.0
30/06/2022,Other staff or those with unknown classification,S30 Pregnancy related disorders,6.0,0.0
30/06/2022,Other staff or those with unknown classification,S32 Substance abuse,26.0,0.0
30/06/2022,Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,25.753899999999998,0.0
30/06/2022,Other staff or those with unknown classification,S99 Unknown causes / Not specified,55.6,0.0
30/06/2022,Professionally qualified clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,205072.27744,0.0
30/06/2022,Professionally qualified clinical staff,S11 Back Problems,32752.77946,0.0
30/06/2022,Professionally qualified clinical staff,S12 Other musculoskeletal problems,69352.95148,0.0
30/06/2022,Professionally qualified clinical staff,S13 Cold Cough Flu - Influenza,90875.01578,0.0
30/06/2022,Professionally qualified clinical staff,S14 Asthma,2024.85634,0.0
