DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/03/2023,All staff groups,ALL REASONS,2098815.2092,42623778.58791
31/03/2023,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,507112.60395,0.0
31/03/2023,All staff groups,S11 Back Problems,82262.16592,0.0
31/03/2023,All staff groups,S12 Other musculoskeletal problems,169158.77526,0.0
31/03/2023,All staff groups,S13 Cold Cough Flu - Influenza,234742.23963,0.0
31/03/2023,All staff groups,S14 Asthma,5180.82414,0.0
31/03/2023,All staff groups,S15 Chest & respiratory problems,129542.5722,0.0
31/03/2023,All staff groups,S16 Headache / migraine,48820.95185,0.0
31/03/2023,All staff groups,S17 Benign and malignant tumours cancers,55248.28727,0.0
31/03/2023,All staff groups,S18 Blood disorders,7617.98884,0.0
31/03/2023,All staff groups,S19 Heart cardiac & circulatory problems,46310.86925,0.0
31/03/2023,All staff groups,S20 Burns poisoning frostbite hypothermia,1531.89243,0.0
31/03/2023,All staff groups,S21 Ear nose throat (ENT),44302.52092,0.0
31/03/2023,All staff groups,S22 Dental and oral problems,9520.10607,0.0
31/03/2023,All staff groups,S23 Eye problems,20346.58675,0.0
31/03/2023,All staff groups,S24 Endocrine / glandular problems,8547.80419,0.0
31/03/2023,All staff groups,S25 Gastrointestinal problems,163115.18159,0.0
31/03/2023,All staff groups,S26 Genitourinary & gynaecological disorders,63601.1247,0.0
31/03/2023,All staff groups,S27 Infectious diseases,123314.66787,0.0
31/03/2023,All staff groups,S28 Injury fracture,94355.6472,0.0
31/03/2023,All staff groups,S29 Nervous system disorders,17903.46004,0.0
31/03/2023,All staff groups,S30 Pregnancy related disorders,61357.47383,0.0
31/03/2023,All staff groups,S31 Skin disorders,11844.70094,0.0
31/03/2023,All staff groups,S32 Substance abuse,897.25161,0.0
31/03/2023,All staff groups,S98 Other known causes - not elsewhere classified,134767.48815,0.0
31/03/2023,All staff groups,S99 Unknown causes / Not specified,57412.0246,0.0
31/03/2023,NHS infrastructure support,ALL REASONS,316705.47218,7819421.06931
31/03/2023,Other staff or those with unknown classification,ALL REASONS,1190.01621,77607.17177
31/03/2023,Professionally qualified clinical staff,ALL REASONS,937692.61451,21942571.11355
31/03/2023,Support to clinical staff,ALL REASONS,843227.1063,12784179.23328
31/03/2023,Ambulance staff,ALL REASONS,35124.32352,590795.94343
31/03/2023,Central functions,ALL REASONS,151276.16544,4328048.01768
31/03/2023,HCHS Doctors,ALL REASONS,81231.30196,4344754.49062
31/03/2023,"Hotel, property & estates",ALL REASONS,136155.62141,2020474.90404
31/03/2023,Managers,ALL REASONS,21265.34776,1011783.18467
31/03/2023,Midwives,ALL REASONS,39137.07503,726940.63173
31/03/2023,Nurses & health visitors,ALL REASONS,575177.14363,10898199.92308
31/03/2023,"Scientific, therapeutic & technical staff",ALL REASONS,207022.77037,5381880.12469
31/03/2023,Senior managers,ALL REASONS,8008.33757,459114.96292
31/03/2023,Support to ST&T staff,ALL REASONS,147973.87919,2611828.68706
31/03/2023,Support to ambulance staff,ALL REASONS,63449.07887,800072.08732
31/03/2023,"Support to doctors, nurses & midwives",ALL REASONS,631804.14824,9372278.4589
31/03/2023,Associate Specialist,ALL REASONS,1855.8423,68856.02184
