DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/05/2024,All staff groups,ALL REASONS,2087332.51278,44531800.65579
31/05/2024,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,562070.36103,0.0
31/05/2024,All staff groups,S11 Back Problems,93428.3739,0.0
31/05/2024,All staff groups,S12 Other musculoskeletal problems,200211.90158,0.0
31/05/2024,All staff groups,S13 Cold Cough Flu - Influenza,185014.85445,0.0
31/05/2024,All staff groups,S14 Asthma,5585.68583,0.0
31/05/2024,All staff groups,S15 Chest & respiratory problems,79298.36586,0.0
31/05/2024,All staff groups,S16 Headache / migraine,55328.58521,0.0
31/05/2024,All staff groups,S17 Benign and malignant tumours cancers,62208.49731,0.0
31/05/2024,All staff groups,S18 Blood disorders,8580.49763,0.0
31/05/2024,All staff groups,S19 Heart cardiac & circulatory problems,48895.26152,0.0
31/05/2024,All staff groups,S20 Burns poisoning frostbite hypothermia,1503.92409,0.0
31/05/2024,All staff groups,S21 Ear nose throat (ENT),43920.04841,0.0
31/05/2024,All staff groups,S22 Dental and oral problems,10857.17742,0.0
31/05/2024,All staff groups,S23 Eye problems,21392.34289,0.0
31/05/2024,All staff groups,S24 Endocrine / glandular problems,10298.06675,0.0
31/05/2024,All staff groups,S25 Gastrointestinal problems,179910.24151,0.0
31/05/2024,All staff groups,S26 Genitourinary & gynaecological disorders,76425.9647,0.0
31/05/2024,All staff groups,S27 Infectious diseases,29002.28235,0.0
31/05/2024,All staff groups,S28 Injury fracture,107307.55309,0.0
31/05/2024,All staff groups,S29 Nervous system disorders,23087.12084,0.0
31/05/2024,All staff groups,S30 Pregnancy related disorders,67571.31353,0.0
31/05/2024,All staff groups,S31 Skin disorders,15715.74237,0.0
31/05/2024,All staff groups,S32 Substance abuse,705.07986,0.0
31/05/2024,All staff groups,S98 Other known causes - not elsewhere classified,138045.39169,0.0
31/05/2024,All staff groups,S99 Unknown causes / Not specified,60967.87896,0.0
31/05/2024,NHS infrastructure support,ALL REASONS,324361.25379,7948593.93344
31/05/2024,Other staff or those with unknown classification,ALL REASONS,1118.22619,69938.07129
31/05/2024,Professionally qualified clinical staff,ALL REASONS,934538.84676,23211472.49859
31/05/2024,Support to clinical staff,ALL REASONS,827314.1860400001,13301796.15247
31/05/2024,Ambulance staff,ALL REASONS,34493.30941,638044.7548
31/05/2024,Central functions,ALL REASONS,151973.62323,4292059.92172
31/05/2024,HCHS doctors - All grades,ALL REASONS,81033.72539,4565734.6728
31/05/2024,"Hotel, property & estates",ALL REASONS,138898.68446,2157763.167
31/05/2024,Managers,ALL REASONS,23842.72205,991430.38817
31/05/2024,Midwives,ALL REASONS,40758.31101,769444.02061
31/05/2024,Nurses & health visitors,ALL REASONS,583025.65159,11632190.61511
31/05/2024,"Scientific, therapeutic & technical staff",ALL REASONS,195227.84936,5606058.43527
31/05/2024,Senior managers,ALL REASONS,9646.22405,507340.45655
31/05/2024,Support to ST&T staff,ALL REASONS,142901.34556,2794693.41617
31/05/2024,Support to ambulance staff,ALL REASONS,61013.12018,838185.11292
