DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
30/11/2024,All staff groups,ALL REASONS,2371303.50933,43833624.44458
30/11/2024,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,630396.08654,0.0
30/11/2024,All staff groups,S11 Back Problems,100548.85891,0.0
30/11/2024,All staff groups,S12 Other musculoskeletal problems,213169.84417,0.0
30/11/2024,All staff groups,S13 Cold Cough Flu - Influenza,306024.94722,0.0
30/11/2024,All staff groups,S14 Asthma,6774.78052,0.0
30/11/2024,All staff groups,S15 Chest & respiratory problems,87982.87805,0.0
30/11/2024,All staff groups,S16 Headache / migraine,60909.33697,0.0
30/11/2024,All staff groups,S17 Benign and malignant tumours cancers,63664.97145,0.0
30/11/2024,All staff groups,S18 Blood disorders,8989.99929,0.0
30/11/2024,All staff groups,S19 Heart cardiac & circulatory problems,52058.72239,0.0
30/11/2024,All staff groups,S20 Burns poisoning frostbite hypothermia,1797.20745,0.0
30/11/2024,All staff groups,S21 Ear nose throat (ENT),46564.86118,0.0
30/11/2024,All staff groups,S22 Dental and oral problems,11679.32983,0.0
30/11/2024,All staff groups,S23 Eye problems,22819.35974,0.0
30/11/2024,All staff groups,S24 Endocrine / glandular problems,11248.56903,0.0
30/11/2024,All staff groups,S25 Gastrointestinal problems,200525.48304,0.0
30/11/2024,All staff groups,S26 Genitourinary & gynaecological disorders,84958.24971,0.0
30/11/2024,All staff groups,S27 Infectious diseases,23837.31649,0.0
30/11/2024,All staff groups,S28 Injury fracture,111567.75228,0.0
30/11/2024,All staff groups,S29 Nervous system disorders,24903.52448,0.0
30/11/2024,All staff groups,S30 Pregnancy related disorders,76643.22179,0.0
30/11/2024,All staff groups,S31 Skin disorders,16854.05667,0.0
30/11/2024,All staff groups,S32 Substance abuse,995.15377,0.0
30/11/2024,All staff groups,S98 Other known causes - not elsewhere classified,145014.03735,0.0
30/11/2024,All staff groups,S99 Unknown causes / Not specified,61374.96101,0.0
30/11/2024,NHS infrastructure support,ALL REASONS,368958.9844,7745236.07158
30/11/2024,Other staff or those with unknown classification,ALL REASONS,1051.82688,63837.09205
30/11/2024,Professionally qualified clinical staff,ALL REASONS,1074901.31375,23172086.32788
30/11/2024,Support to clinical staff,ALL REASONS,926391.3843,12852464.95307
30/11/2024,Ambulance staff,ALL REASONS,41876.64839,651812.89746
30/11/2024,Central functions,ALL REASONS,175522.7582,4158341.24543
30/11/2024,HCHS doctors - All grades,ALL REASONS,87621.3902,4603342.142
30/11/2024,"Hotel, property & estates",ALL REASONS,156034.12491,2116074.30443
30/11/2024,Managers,ALL REASONS,26948.6677,978601.59021
30/11/2024,Midwives,ALL REASONS,46241.14161,775458.99451
30/11/2024,Nurses & health visitors,ALL REASONS,664849.8162,11555818.75499
