DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/10/2023,All staff groups,ALL REASONS,2318413.81332,43780131.51445
31/10/2023,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,584892.08905,0.0
31/10/2023,All staff groups,S11 Back Problems,94026.06446,0.0
31/10/2023,All staff groups,S12 Other musculoskeletal problems,194579.36261,0.0
31/10/2023,All staff groups,S13 Cold Cough Flu - Influenza,315481.80969,0.0
31/10/2023,All staff groups,S14 Asthma,6250.22113,0.0
31/10/2023,All staff groups,S15 Chest & respiratory problems,114026.34339,0.0
31/10/2023,All staff groups,S16 Headache / migraine,56744.10469,0.0
31/10/2023,All staff groups,S17 Benign and malignant tumours cancers,61607.85275,0.0
31/10/2023,All staff groups,S18 Blood disorders,9279.768900000001,0.0
31/10/2023,All staff groups,S19 Heart cardiac & circulatory problems,49419.15193,0.0
31/10/2023,All staff groups,S20 Burns poisoning frostbite hypothermia,1712.46441,0.0
31/10/2023,All staff groups,S21 Ear nose throat (ENT),41333.2144,0.0
31/10/2023,All staff groups,S22 Dental and oral problems,10435.38729,0.0
31/10/2023,All staff groups,S23 Eye problems,20715.6344,0.0
31/10/2023,All staff groups,S24 Endocrine / glandular problems,9721.77966,0.0
31/10/2023,All staff groups,S25 Gastrointestinal problems,159157.80217,0.0
31/10/2023,All staff groups,S26 Genitourinary & gynaecological disorders,73005.25267,0.0
31/10/2023,All staff groups,S27 Infectious diseases,92639.13666,0.0
31/10/2023,All staff groups,S28 Injury fracture,106316.16313,0.0
31/10/2023,All staff groups,S29 Nervous system disorders,22154.86403,0.0
31/10/2023,All staff groups,S30 Pregnancy related disorders,68917.08056,0.0
31/10/2023,All staff groups,S31 Skin disorders,14110.14194,0.0
31/10/2023,All staff groups,S32 Substance abuse,974.37801,0.0
31/10/2023,All staff groups,S98 Other known causes - not elsewhere classified,146440.73577,0.0
31/10/2023,All staff groups,S99 Unknown causes / Not specified,64473.00962,0.0
31/10/2023,NHS infrastructure support,ALL REASONS,362352.06154,7990419.57574
31/10/2023,Other staff or those with unknown classification,ALL REASONS,1487.40004,78429.89034
31/10/2023,Professionally qualified clinical staff,ALL REASONS,1027170.58875,22669497.96714
31/10/2023,Support to clinical staff,ALL REASONS,927403.76299,13041784.08123
31/10/2023,Ambulance staff,ALL REASONS,35451.65165,613727.67698
31/10/2023,Central functions,ALL REASONS,174524.11797,4374851.97438
31/10/2023,HCHS Doctors,ALL REASONS,85067.87296,4509994.82655
31/10/2023,"Hotel, property & estates",ALL REASONS,151799.69592,2113145.35205
31/10/2023,Managers,ALL REASONS,26307.72109,1036726.59717
31/10/2023,Midwives,ALL REASONS,43568.22226,745061.7105
31/10/2023,Nurses & health visitors,ALL REASONS,633200.40914,11255961.98866
31/10/2023,"Scientific, therapeutic & technical staff",ALL REASONS,229882.43274,5544751.76445
31/10/2023,Senior managers,ALL REASONS,9720.52656,465695.65214
31/10/2023,Support to ST&T staff,ALL REASONS,166980.45209,2683462.82799
31/10/2023,Support to ambulance staff,ALL REASONS,65598.38747,817800.65546
31/10/2023,"Support to doctors, nurses & midwives",ALL REASONS,694824.92343,9540520.59778
31/10/2023,Associate Specialist,ALL REASONS,1753.627,74291.16343
31/10/2023,Consultant,ALL REASONS,29803.02107,1777876.54096
31/10/2023,Core Training,ALL REASONS,13861.46503,667020.91452
31/10/2023,Foundation Doctor Year 1,ALL REASONS,4071.40775,240559.65275
31/10/2023,Foundation Doctor Year 2,ALL REASONS,5541.2465,220552.97325
31/10/2023,Hospital Practitioner / Clinical Assistant,ALL REASONS,587.94746,23825.71062
31/10/2023,Other and Local HCHS Doctor Grades,ALL REASONS,1162.63448,40952.62017
31/10/2023,Specialty Doctor,ALL REASONS,7620.29389,278001.59432
31/10/2023,Specialty Registrar,ALL REASONS,20494.1366,1175951.97628
31/10/2023,Staff Grade,ALL REASONS,172.09318,10961.68025
31/10/2023,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,100145.38519,0.0
31/10/2023,NHS infrastructure support,S11 Back Problems,15584.10807,0.0
31/10/2023,NHS infrastructure support,S12 Other musculoskeletal problems,31988.25514,0.0
31/10/2023,NHS infrastructure support,S13 Cold Cough Flu - Influenza,43769.16715,0.0
31/10/2023,NHS infrastructure support,S14 Asthma,745.70651,0.0
31/10/2023,NHS infrastructure support,S15 Chest & respiratory problems,18180.63287,0.0
31/10/2023,NHS infrastructure support,S16 Headache / migraine,8003.09173,0.0
31/10/2023,NHS infrastructure support,S17 Benign and malignant tumours cancers,12435.91728,0.0
31/10/2023,NHS infrastructure support,S18 Blood disorders,2188.13319,0.0
31/10/2023,NHS infrastructure support,S19 Heart cardiac & circulatory problems,9260.90058,0.0
31/10/2023,NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,319.67539,0.0
31/10/2023,NHS infrastructure support,S21 Ear nose throat (ENT),6289.44233,0.0
31/10/2023,NHS infrastructure support,S22 Dental and oral problems,1518.87182,0.0
31/10/2023,NHS infrastructure support,S23 Eye problems,4215.6214,0.0
31/10/2023,NHS infrastructure support,S24 Endocrine / glandular problems,1136.89002,0.0
31/10/2023,NHS infrastructure support,S25 Gastrointestinal problems,23273.50355,0.0
31/10/2023,NHS infrastructure support,S26 Genitourinary & gynaecological disorders,9115.7202,0.0
31/10/2023,NHS infrastructure support,S27 Infectious diseases,11474.81937,0.0
31/10/2023,NHS infrastructure support,S28 Injury fracture,17239.50086,0.0
