DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
30/09/2022,All staff groups,ALL REASONS,1993118.25465,39838772.76765
30/09/2022,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,496409.68851,0.0
30/09/2022,All staff groups,S11 Back Problems,89405.68166,0.0
30/09/2022,All staff groups,S12 Other musculoskeletal problems,176082.31488,0.0
30/09/2022,All staff groups,S13 Cold Cough Flu - Influenza,171162.33859,0.0
30/09/2022,All staff groups,S14 Asthma,4751.60799,0.0
30/09/2022,All staff groups,S15 Chest & respiratory problems,110063.62513,0.0
30/09/2022,All staff groups,S16 Headache / migraine,48095.71333,0.0
30/09/2022,All staff groups,S17 Benign and malignant tumours cancers,56298.83741,0.0
30/09/2022,All staff groups,S18 Blood disorders,7758.2923,0.0
30/09/2022,All staff groups,S19 Heart cardiac & circulatory problems,43378.08612,0.0
30/09/2022,All staff groups,S20 Burns poisoning frostbite hypothermia,1345.50168,0.0
30/09/2022,All staff groups,S21 Ear nose throat (ENT),35665.94364,0.0
30/09/2022,All staff groups,S22 Dental and oral problems,9198.19743,0.0
30/09/2022,All staff groups,S23 Eye problems,15983.77818,0.0
30/09/2022,All staff groups,S24 Endocrine / glandular problems,9542.80811,0.0
30/09/2022,All staff groups,S25 Gastrointestinal problems,146465.61851,0.0
30/09/2022,All staff groups,S26 Genitourinary & gynaecological disorders,62887.72663,0.0
30/09/2022,All staff groups,S27 Infectious diseases,130632.51719,0.0
30/09/2022,All staff groups,S28 Injury fracture,97817.39618,0.0
30/09/2022,All staff groups,S29 Nervous system disorders,18483.3997,0.0
30/09/2022,All staff groups,S30 Pregnancy related disorders,59022.92443,0.0
30/09/2022,All staff groups,S31 Skin disorders,12829.76942,0.0
30/09/2022,All staff groups,S32 Substance abuse,837.74644,0.0
30/09/2022,All staff groups,S98 Other known causes - not elsewhere classified,130927.44331,0.0
30/09/2022,All staff groups,S99 Unknown causes / Not specified,58071.29788,0.0
30/09/2022,NHS infrastructure support,ALL REASONS,301283.2528,7352746.44881
30/09/2022,Other staff or those with unknown classification,ALL REASONS,1175.3986400000001,75749.58175
30/09/2022,Professionally qualified clinical staff,ALL REASONS,886456.72019,20556483.38884
30/09/2022,Support to clinical staff,ALL REASONS,804202.88302,11853793.34825
30/09/2022,Ambulance staff,ALL REASONS,37481.0619,552131.20039
30/09/2022,Central functions,ALL REASONS,138964.09189,4050343.17027
30/09/2022,HCHS Doctors,ALL REASONS,72405.77531,4110633.61362
30/09/2022,"Hotel, property & estates",ALL REASONS,135546.20987,1911721.39258
30/09/2022,Managers,ALL REASONS,19909.9231,961238.97216
30/09/2022,Midwives,ALL REASONS,40946.14248,671712.22277
30/09/2022,Nurses & health visitors,ALL REASONS,549741.39909,10155813.27669
30/09/2022,"Scientific, therapeutic & technical staff",ALL REASONS,185882.34141,5066193.07537
30/09/2022,Senior managers,ALL REASONS,6863.02794,429442.9138
30/09/2022,Support to ST&T staff,ALL REASONS,130875.42698,2349207.8945
30/09/2022,Support to ambulance staff,ALL REASONS,66312.54439,759791.88479
30/09/2022,"Support to doctors, nurses & midwives",ALL REASONS,607014.91165,8744793.56896
30/09/2022,Associate Specialist,ALL REASONS,2021.4234,63245.7412
30/09/2022,Consultant,ALL REASONS,26505.98268,1653149.19064
30/09/2022,Core Training,ALL REASONS,10218.93975,556324.07335
30/09/2022,Foundation Doctor Year 1,ALL REASONS,3950.6925,218863.275
30/09/2022,Foundation Doctor Year 2,ALL REASONS,3985.425,192524.10875
30/09/2022,Hospital Practitioner / Clinical Assistant,ALL REASONS,426.40247,21703.0853
30/09/2022,Other and Local HCHS Doctor Grades,ALL REASONS,1026.05987,38729.26101
30/09/2022,Specialty Doctor,ALL REASONS,7102.58464,249766.43349
30/09/2022,Specialty Registrar,ALL REASONS,17004.925,1106167.94938
30/09/2022,Staff Grade,ALL REASONS,163.34,10160.4955
30/09/2022,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,79509.05089,0.0
30/09/2022,NHS infrastructure support,S11 Back Problems,14910.64764,0.0
30/09/2022,NHS infrastructure support,S12 Other musculoskeletal problems,27978.43321,0.0
30/09/2022,NHS infrastructure support,S13 Cold Cough Flu - Influenza,22687.21085,0.0
30/09/2022,NHS infrastructure support,S14 Asthma,473.60029,0.0
30/09/2022,NHS infrastructure support,S15 Chest & respiratory problems,16872.72629,0.0
30/09/2022,NHS infrastructure support,S16 Headache / migraine,6481.52242,0.0
30/09/2022,NHS infrastructure support,S17 Benign and malignant tumours cancers,11490.88555,0.0
30/09/2022,NHS infrastructure support,S18 Blood disorders,1573.1466,0.0
30/09/2022,NHS infrastructure support,S19 Heart cardiac & circulatory problems,8581.69736,0.0
30/09/2022,NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,271.21319,0.0
30/09/2022,NHS infrastructure support,S21 Ear nose throat (ENT),4620.9936,0.0
30/09/2022,NHS infrastructure support,S22 Dental and oral problems,1390.57205,0.0
30/09/2022,NHS infrastructure support,S23 Eye problems,2898.90944,0.0
30/09/2022,NHS infrastructure support,S24 Endocrine / glandular problems,1203.67507,0.0
30/09/2022,NHS infrastructure support,S25 Gastrointestinal problems,20498.57346,0.0
30/09/2022,NHS infrastructure support,S26 Genitourinary & gynaecological disorders,7938.27196,0.0
30/09/2022,NHS infrastructure support,S27 Infectious diseases,15027.05474,0.0
30/09/2022,NHS infrastructure support,S28 Injury fracture,15195.854,0.0
30/09/2022,NHS infrastructure support,S29 Nervous system disorders,2820.40232,0.0
30/09/2022,NHS infrastructure support,S30 Pregnancy related disorders,3623.11133,0.0
30/09/2022,NHS infrastructure support,S31 Skin disorders,2304.01039,0.0
30/09/2022,NHS infrastructure support,S32 Substance abuse,238.5198,0.0
30/09/2022,NHS infrastructure support,S98 Other known causes - not elsewhere classified,21259.54083,0.0
30/09/2022,NHS infrastructure support,S99 Unknown causes / Not specified,11433.62952,0.0
30/09/2022,Other staff or those with unknown classification,S10 Anxiety/stress/depression/other psychiatric illnesses,305.38862,0.0
30/09/2022,Other staff or those with unknown classification,S11 Back Problems,11.0,0.0
30/09/2022,Other staff or those with unknown classification,S12 Other musculoskeletal problems,119.37333,0.0
30/09/2022,Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,129.58667,0.0
30/09/2022,Other staff or those with unknown classification,S14 Asthma,2.4,0.0
30/09/2022,Other staff or those with unknown classification,S15 Chest & respiratory problems,37.866640000000004,0.0
30/09/2022,Other staff or those with unknown classification,S16 Headache / migraine,79.11334,0.0
30/09/2022,Other staff or those with unknown classification,S17 Benign and malignant tumours cancers,14.0,0.0
30/09/2022,Other staff or those with unknown classification,S21 Ear nose throat (ENT),40.66673,0.0
30/09/2022,Other staff or those with unknown classification,S23 Eye problems,27.0,0.0
30/09/2022,Other staff or those with unknown classification,S25 Gastrointestinal problems,80.2,0.0
30/09/2022,Other staff or those with unknown classification,S26 Genitourinary & gynaecological disorders,10.84,0.0
30/09/2022,Other staff or those with unknown classification,S27 Infectious diseases,132.0667,0.0
30/09/2022,Other staff or those with unknown classification,S28 Injury fracture,11.07011,0.0
30/09/2022,Other staff or those with unknown classification,S30 Pregnancy related disorders,27.33335,0.0
30/09/2022,Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,101.49313000000001,0.0
30/09/2022,Other staff or those with unknown classification,S99 Unknown causes / Not specified,46.00002,0.0
30/09/2022,Professionally qualified clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,211719.7264,0.0
30/09/2022,Professionally qualified clinical staff,S11 Back Problems,33977.00134,0.0
30/09/2022,Professionally qualified clinical staff,S12 Other musculoskeletal problems,68805.87363,0.0
30/09/2022,Professionally qualified clinical staff,S13 Cold Cough Flu - Influenza,87308.7053,0.0
30/09/2022,Professionally qualified clinical staff,S14 Asthma,2243.13495,0.0
30/09/2022,Professionally qualified clinical staff,S15 Chest & respiratory problems,49726.91375,0.0
30/09/2022,Professionally qualified clinical staff,S16 Headache / migraine,21780.14461,0.0
30/09/2022,Professionally qualified clinical staff,S17 Benign and malignant tumours cancers,24025.72596,0.0
30/09/2022,Professionally qualified clinical staff,S18 Blood disorders,3061.99754,0.0
30/09/2022,Professionally qualified clinical staff,S19 Heart cardiac & circulatory problems,16621.48479,0.0
30/09/2022,Professionally qualified clinical staff,S20 Burns poisoning frostbite hypothermia,646.89316,0.0
30/09/2022,Professionally qualified clinical staff,S21 Ear nose throat (ENT),15666.42154,0.0
30/09/2022,Professionally qualified clinical staff,S22 Dental and oral problems,4051.11274,0.0
30/09/2022,Professionally qualified clinical staff,S23 Eye problems,6703.45511,0.0
30/09/2022,Professionally qualified clinical staff,S24 Endocrine / glandular problems,4600.68732,0.0
30/09/2022,Professionally qualified clinical staff,S25 Gastrointestinal problems,64279.20364,0.0
30/09/2022,Professionally qualified clinical staff,S26 Genitourinary & gynaecological disorders,28992.41068,0.0
30/09/2022,Professionally qualified clinical staff,S27 Infectious diseases,66439.5933,0.0
30/09/2022,Professionally qualified clinical staff,S28 Injury fracture,40117.47496,0.0
30/09/2022,Professionally qualified clinical staff,S29 Nervous system disorders,7843.65991,0.0
30/09/2022,Professionally qualified clinical staff,S30 Pregnancy related disorders,37130.71661,0.0
30/09/2022,Professionally qualified clinical staff,S31 Skin disorders,5065.62823,0.0
30/09/2022,Professionally qualified clinical staff,S32 Substance abuse,228.66663,0.0
30/09/2022,Professionally qualified clinical staff,S98 Other known causes - not elsewhere classified,59624.1312,0.0
30/09/2022,Professionally qualified clinical staff,S99 Unknown causes / Not specified,25795.95689,0.0
30/09/2022,Support to clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,204875.5226,0.0
30/09/2022,Support to clinical staff,S11 Back Problems,40507.03268,0.0
30/09/2022,Support to clinical staff,S12 Other musculoskeletal problems,79178.63471,0.0
30/09/2022,Support to clinical staff,S13 Cold Cough Flu - Influenza,61036.83577,0.0
30/09/2022,Support to clinical staff,S14 Asthma,2032.47275,0.0
30/09/2022,Support to clinical staff,S15 Chest & respiratory problems,43426.11845,0.0
30/09/2022,Support to clinical staff,S16 Headache / migraine,19754.93296,0.0
30/09/2022,Support to clinical staff,S17 Benign and malignant tumours cancers,20768.2259,0.0
30/09/2022,Support to clinical staff,S18 Blood disorders,3123.14816,0.0
30/09/2022,Support to clinical staff,S19 Heart cardiac & circulatory problems,18174.90397,0.0
30/09/2022,Support to clinical staff,S20 Burns poisoning frostbite hypothermia,427.39533,0.0
30/09/2022,Support to clinical staff,S21 Ear nose throat (ENT),15337.86177,0.0
30/09/2022,Support to clinical staff,S22 Dental and oral problems,3756.51264,0.0
30/09/2022,Support to clinical staff,S23 Eye problems,6354.41363,0.0
30/09/2022,Support to clinical staff,S24 Endocrine / glandular problems,3738.44572,0.0
30/09/2022,Support to clinical staff,S25 Gastrointestinal problems,61607.64141,0.0
30/09/2022,Support to clinical staff,S26 Genitourinary & gynaecological disorders,25946.20399,0.0
30/09/2022,Support to clinical staff,S27 Infectious diseases,49033.80245,0.0
30/09/2022,Support to clinical staff,S28 Injury fracture,42492.99711,0.0
30/09/2022,Support to clinical staff,S29 Nervous system disorders,7819.33747,0.0
30/09/2022,Support to clinical staff,S30 Pregnancy related disorders,18241.76314,0.0
30/09/2022,Support to clinical staff,S31 Skin disorders,5460.1308,0.0
30/09/2022,Support to clinical staff,S32 Substance abuse,370.56001,0.0
30/09/2022,Support to clinical staff,S98 Other known causes - not elsewhere classified,49942.27815,0.0
30/09/2022,Support to clinical staff,S99 Unknown causes / Not specified,20795.71145,0.0
30/09/2022,Ambulance staff,S10 Anxiety/stress/depression/other psychiatric illnesses,9601.38622,0.0
30/09/2022,Ambulance staff,S11 Back Problems,2735.53532,0.0
30/09/2022,Ambulance staff,S12 Other musculoskeletal problems,3174.96809,0.0
30/09/2022,Ambulance staff,S13 Cold Cough Flu - Influenza,1818.58797,0.0
30/09/2022,Ambulance staff,S14 Asthma,60.3728,0.0
30/09/2022,Ambulance staff,S15 Chest & respiratory problems,2191.96247,0.0
30/09/2022,Ambulance staff,S16 Headache / migraine,656.67267,0.0
30/09/2022,Ambulance staff,S17 Benign and malignant tumours cancers,331.03729,0.0
30/09/2022,Ambulance staff,S18 Blood disorders,116.0,0.0
30/09/2022,Ambulance staff,S19 Heart cardiac & circulatory problems,924.65106,0.0
30/09/2022,Ambulance staff,S20 Burns poisoning frostbite hypothermia,19.0,0.0
30/09/2022,Ambulance staff,S21 Ear nose throat (ENT),610.26204,0.0
30/09/2022,Ambulance staff,S22 Dental and oral problems,146.10554,0.0
30/09/2022,Ambulance staff,S23 Eye problems,186.48152,0.0
30/09/2022,Ambulance staff,S24 Endocrine / glandular problems,251.43558,0.0
30/09/2022,Ambulance staff,S25 Gastrointestinal problems,2612.44549,0.0
30/09/2022,Ambulance staff,S26 Genitourinary & gynaecological disorders,878.86937,0.0
30/09/2022,Ambulance staff,S27 Infectious diseases,3432.22021,0.0
30/09/2022,Ambulance staff,S28 Injury fracture,3878.29701,0.0
30/09/2022,Ambulance staff,S29 Nervous system disorders,291.21333,0.0
30/09/2022,Ambulance staff,S30 Pregnancy related disorders,433.71277,0.0
30/09/2022,Ambulance staff,S31 Skin disorders,221.13998,0.0
30/09/2022,Ambulance staff,S98 Other known causes - not elsewhere classified,1565.28057,0.0
30/09/2022,Ambulance staff,S99 Unknown causes / Not specified,1343.4246,0.0
30/09/2022,Central functions,S10 Anxiety/stress/depression/other psychiatric illnesses,42513.78701,0.0
30/09/2022,Central functions,S11 Back Problems,4835.93594,0.0
30/09/2022,Central functions,S12 Other musculoskeletal problems,7581.608,0.0
30/09/2022,Central functions,S13 Cold Cough Flu - Influenza,12592.98067,0.0
30/09/2022,Central functions,S14 Asthma,145.82671,0.0
30/09/2022,Central functions,S15 Chest & respiratory problems,8063.36228,0.0
30/09/2022,Central functions,S16 Headache / migraine,3839.70873,0.0
30/09/2022,Central functions,S17 Benign and malignant tumours cancers,5306.18823,0.0
30/09/2022,Central functions,S18 Blood disorders,786.1332,0.0
30/09/2022,Central functions,S19 Heart cardiac & circulatory problems,2827.77446,0.0
30/09/2022,Central functions,S20 Burns poisoning frostbite hypothermia,62.4,0.0
30/09/2022,Central functions,S21 Ear nose throat (ENT),2664.25921,0.0
30/09/2022,Central functions,S22 Dental and oral problems,707.02002,0.0
30/09/2022,Central functions,S23 Eye problems,1496.87184,0.0
30/09/2022,Central functions,S24 Endocrine / glandular problems,455.90001,0.0
30/09/2022,Central functions,S25 Gastrointestinal problems,9576.58801,0.0
