DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
30/09/2023,All staff groups,ALL REASONS,2080949.58254,41953784.86031
30/09/2023,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,549299.82592,0.0
30/09/2023,All staff groups,S11 Back Problems,95479.21462,0.0
30/09/2023,All staff groups,S12 Other musculoskeletal problems,191052.17224,0.0
30/09/2023,All staff groups,S13 Cold Cough Flu - Influenza,184900.56957,0.0
30/09/2023,All staff groups,S14 Asthma,4846.0171,0.0
30/09/2023,All staff groups,S15 Chest & respiratory problems,92160.06548,0.0
30/09/2023,All staff groups,S16 Headache / migraine,52982.40248,0.0
30/09/2023,All staff groups,S17 Benign and malignant tumours cancers,59845.43854,0.0
30/09/2023,All staff groups,S18 Blood disorders,8973.16394,0.0
30/09/2023,All staff groups,S19 Heart cardiac & circulatory problems,47359.92591,0.0
30/09/2023,All staff groups,S20 Burns poisoning frostbite hypothermia,1541.59674,0.0
30/09/2023,All staff groups,S21 Ear nose throat (ENT),36868.14426,0.0
30/09/2023,All staff groups,S22 Dental and oral problems,10199.21143,0.0
30/09/2023,All staff groups,S23 Eye problems,19417.14026,0.0
30/09/2023,All staff groups,S24 Endocrine / glandular problems,9847.98408,0.0
30/09/2023,All staff groups,S25 Gastrointestinal problems,154580.59946,0.0
30/09/2023,All staff groups,S26 Genitourinary & gynaecological disorders,70827.37233,0.0
30/09/2023,All staff groups,S27 Infectious diseases,84039.12864,0.0
30/09/2023,All staff groups,S28 Injury fracture,106907.02114,0.0
30/09/2023,All staff groups,S29 Nervous system disorders,20987.96493,0.0
30/09/2023,All staff groups,S30 Pregnancy related disorders,66381.11249,0.0
30/09/2023,All staff groups,S31 Skin disorders,14873.62804,0.0
30/09/2023,All staff groups,S32 Substance abuse,1005.54294,0.0
30/09/2023,All staff groups,S98 Other known causes - not elsewhere classified,136378.61109,0.0
30/09/2023,All staff groups,S99 Unknown causes / Not specified,60195.72891,0.0
30/09/2023,NHS infrastructure support,ALL REASONS,321726.43038,7684848.25283
30/09/2023,Other staff or those with unknown classification,ALL REASONS,1301.98098,76404.0334
30/09/2023,Professionally qualified clinical staff,ALL REASONS,917015.35296,21641178.9872
30/09/2023,Support to clinical staff,ALL REASONS,840905.81822,12551353.58688
30/09/2023,Ambulance staff,ALL REASONS,34411.50615,587260.69973
30/09/2023,Central functions,ALL REASONS,151973.12778,4205252.1731
30/09/2023,HCHS Doctors,ALL REASONS,75359.30393,4331625.50074
30/09/2023,"Hotel, property & estates",ALL REASONS,138913.03109,2032341.61463
30/09/2023,Managers,ALL REASONS,22795.80416,998983.62535
30/09/2023,Midwives,ALL REASONS,39317.68708,697823.50743
30/09/2023,Nurses & health visitors,ALL REASONS,569838.42052,10726492.21765
30/09/2023,"Scientific, therapeutic & technical staff",ALL REASONS,198088.43528,5297977.06165
30/09/2023,Senior managers,ALL REASONS,8044.46735,448270.83975
30/09/2023,Support to ST&T staff,ALL REASONS,145978.41933,2553671.79751
30/09/2023,Support to ambulance staff,ALL REASONS,59985.60361,787520.81674
30/09/2023,"Support to doctors, nurses & midwives",ALL REASONS,634941.79528,9210160.97263
30/09/2023,Associate Specialist,ALL REASONS,1553.4205,70807.82266
30/09/2023,Consultant,ALL REASONS,27775.77282,1710233.77099
30/09/2023,Core Training,ALL REASONS,11196.15311,630094.85635
30/09/2023,Foundation Doctor Year 1,ALL REASONS,3406.66875,233423.68625
30/09/2023,Foundation Doctor Year 2,ALL REASONS,4699.51725,218433.834
30/09/2023,Hospital Practitioner / Clinical Assistant,ALL REASONS,491.88003000000003,22404.03243
30/09/2023,Other and Local HCHS Doctor Grades,ALL REASONS,1059.25475,39443.09811
30/09/2023,Specialty Doctor,ALL REASONS,7193.80204,266681.63345
30/09/2023,Specialty Registrar,ALL REASONS,17814.63788,1129835.20975
30/09/2023,Staff Grade,ALL REASONS,168.1968,10267.55675
30/09/2023,NHS infrastructure support,S10 Anxiety/stress/depression/other psychiatric illnesses,92407.85369,0.0
30/09/2023,NHS infrastructure support,S11 Back Problems,14956.77098,0.0
30/09/2023,NHS infrastructure support,S12 Other musculoskeletal problems,30232.32324,0.0
30/09/2023,NHS infrastructure support,S13 Cold Cough Flu - Influenza,23894.81606,0.0
30/09/2023,NHS infrastructure support,S14 Asthma,741.93336,0.0
30/09/2023,NHS infrastructure support,S15 Chest & respiratory problems,14530.846450000001,0.0
30/09/2023,NHS infrastructure support,S16 Headache / migraine,6924.42188,0.0
30/09/2023,NHS infrastructure support,S17 Benign and malignant tumours cancers,12478.41679,0.0
30/09/2023,NHS infrastructure support,S18 Blood disorders,2088.2665,0.0
30/09/2023,NHS infrastructure support,S19 Heart cardiac & circulatory problems,9067.07474,0.0
30/09/2023,NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,226.79335,0.0
30/09/2023,NHS infrastructure support,S21 Ear nose throat (ENT),5265.90471,0.0
30/09/2023,NHS infrastructure support,S22 Dental and oral problems,1551.25189,0.0
30/09/2023,NHS infrastructure support,S23 Eye problems,3705.62806,0.0
30/09/2023,NHS infrastructure support,S24 Endocrine / glandular problems,1242.04298,0.0
30/09/2023,NHS infrastructure support,S25 Gastrointestinal problems,22526.53467,0.0
30/09/2023,NHS infrastructure support,S26 Genitourinary & gynaecological disorders,8856.54054,0.0
30/09/2023,NHS infrastructure support,S27 Infectious diseases,10283.09737,0.0
30/09/2023,NHS infrastructure support,S28 Injury fracture,17184.43226,0.0
30/09/2023,NHS infrastructure support,S29 Nervous system disorders,3386.40308,0.0
30/09/2023,NHS infrastructure support,S30 Pregnancy related disorders,4213.98524,0.0
30/09/2023,NHS infrastructure support,S31 Skin disorders,2282.17286,0.0
30/09/2023,NHS infrastructure support,S32 Substance abuse,198.4666,0.0
30/09/2023,NHS infrastructure support,S98 Other known causes - not elsewhere classified,22064.06244,0.0
30/09/2023,NHS infrastructure support,S99 Unknown causes / Not specified,11416.39064,0.0
30/09/2023,Other staff or those with unknown classification,S10 Anxiety/stress/depression/other psychiatric illnesses,399.34667,0.0
30/09/2023,Other staff or those with unknown classification,S11 Back Problems,43.0,0.0
30/09/2023,Other staff or those with unknown classification,S12 Other musculoskeletal problems,83.08,0.0
30/09/2023,Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,111.28003,0.0
30/09/2023,Other staff or those with unknown classification,S15 Chest & respiratory problems,31.53332,0.0
30/09/2023,Other staff or those with unknown classification,S16 Headache / migraine,91.7475,0.0
30/09/2023,Other staff or those with unknown classification,S17 Benign and malignant tumours cancers,49.2,0.0
30/09/2023,Other staff or those with unknown classification,S19 Heart cardiac & circulatory problems,30.0,0.0
30/09/2023,Other staff or those with unknown classification,S21 Ear nose throat (ENT),4.53332,0.0
30/09/2023,Other staff or those with unknown classification,S23 Eye problems,8.65334,0.0
30/09/2023,Other staff or those with unknown classification,S25 Gastrointestinal problems,87.98676,0.0
30/09/2023,Other staff or those with unknown classification,S26 Genitourinary & gynaecological disorders,12.6,0.0
30/09/2023,Other staff or those with unknown classification,S27 Infectious diseases,88.04,0.0
30/09/2023,Other staff or those with unknown classification,S28 Injury fracture,4.0,0.0
30/09/2023,Other staff or those with unknown classification,S29 Nervous system disorders,2.0,0.0
30/09/2023,Other staff or those with unknown classification,S30 Pregnancy related disorders,30.0,0.0
30/09/2023,Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,182.19327,0.0
30/09/2023,Other staff or those with unknown classification,S99 Unknown causes / Not specified,42.786770000000004,0.0
30/09/2023,Professionally qualified clinical staff,S10 Anxiety/stress/depression/other psychiatric illnesses,228457.30402,0.0
30/09/2023,Professionally qualified clinical staff,S11 Back Problems,36950.98641,0.0
30/09/2023,Professionally qualified clinical staff,S12 Other musculoskeletal problems,75390.94371,0.0
30/09/2023,Professionally qualified clinical staff,S13 Cold Cough Flu - Influenza,96052.03595,0.0
30/09/2023,Professionally qualified clinical staff,S14 Asthma,2032.12552,0.0
30/09/2023,Professionally qualified clinical staff,S15 Chest & respiratory problems,41574.17421,0.0
30/09/2023,Professionally qualified clinical staff,S16 Headache / migraine,23992.15843,0.0
30/09/2023,Professionally qualified clinical staff,S17 Benign and malignant tumours cancers,25812.72354,0.0
30/09/2023,Professionally qualified clinical staff,S18 Blood disorders,2978.2882,0.0
30/09/2023,Professionally qualified clinical staff,S19 Heart cardiac & circulatory problems,18490.25947,0.0
30/09/2023,Professionally qualified clinical staff,S20 Burns poisoning frostbite hypothermia,639.83737,0.0
30/09/2023,Professionally qualified clinical staff,S21 Ear nose throat (ENT),16447.42202,0.0
30/09/2023,Professionally qualified clinical staff,S22 Dental and oral problems,4360.0519,0.0
